city_id,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),City Description,Country
346,Pangai,-19.8,-174.35,75.2,73,40,8.05,0.0,0,scattered clouds,TO
347,Maloy,61.94,5.11,53.6,58,20,20.8,0.0,0,few clouds,NO
348,Maraa,-1.83,-65.37,82.78,90,28,4.27,2.11,0,moderate rain,BR
349,Aguai,-22.06,-46.98,62.6,72,89,14.99,0.0,0,overcast clouds,BR
350,Seoul,37.57,126.98,66.2,93,75,2.39,0.0,0,mist,KR
351,Diffa,13.32,12.61,94.28,30,68,13.0,0.0,0,broken clouds,NE
352,Ancud,-41.87,-73.82,54.0,93,40,11.41,0.0,0,scattered clouds,CL
353,Cap Malheureux,-19.98,57.61,70.0,74,0,5.01,0.0,0,clear sky,MU
354,Nizhniy Tsasuchey,50.52,115.13,61.21,69,55,2.91,0.0,0,broken clouds,RU
355,Zambezi,-13.54,23.1,66.27,43,29,5.79,0.0,0,scattered clouds,ZM
356,Gasa,31.5,34.47,80.01,69,20,5.82,0.0,0,few clouds,PS
357,Muroto,33.28,134.15,73.49,83,4,8.21,0.0,0,clear sky,JP
358,Carauari,-4.88,-66.9,88.0,61,24,4.54,0.79,0,light rain,BR
359,Maltahohe,-24.83,16.98,56.26,32,15,7.54,0.0,0,few clouds,NA
360,Ambon,-3.7,128.18,79.0,14,98,11.39,0.22,0,light rain,ID
361,Forbes,-33.38,148.02,54.0,69,4,3.0,0.0,0,clear sky,AU
362,Saint-Francois,46.42,3.91,78.8,57,90,8.05,0.0,0,overcast clouds,FR
363,Taoudenni,22.68,-3.98,113.58,6,57,12.62,0.0,0,broken clouds,ML
364,Hovd,48.01,91.64,60.49,50,33,9.73,0.0,0,scattered clouds,MN
365,Esmeraldas,-19.76,-44.31,78.8,44,40,9.17,0.0,0,scattered clouds,BR
366,Tura,25.52,90.22,75.87,93,99,5.44,0.89,0,light rain,IN
367,Marsh Harbour,26.54,-77.06,86.23,65,0,11.86,0.0,0,clear sky,BS
368,Kortkeros,61.81,51.58,57.2,67,100,6.71,0.0,0,overcast clouds,RU
369,Fenoarivo,-18.93,47.44,59.0,87,75,5.82,0.0,0,light intensity drizzle,MG
370,Pacific Grove,36.62,-121.92,62.6,67,1,13.87,0.0,0,clear sky,US
371,Shache,38.42,77.24,75.07,18,62,2.01,0.0,0,broken clouds,CN
372,Datong,40.09,113.29,64.51,76,78,2.57,0.0,0,broken clouds,CN
373,Sao Joao Da Barra,-21.64,-41.05,86.0,45,75,16.11,0.0,0,broken clouds,BR
